##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1107	56-57	-0.04561094677160327
1107	58-59	-0.015004308588380866
1107	60-61	0.02686423919590908
1107	62-63	-0.11008182920299703
1107	64-65	-0.03194503820083838
1107	66-67	0.055866912013243564
1107	68-69	0.09630905989853744
1107	70-71	-0.0669602384744934
1107	72-73	-0.005523230553649228
1107	74-75	0.005045282111566962
1107	76-77	-0.030465457169121635
1107	78-79	0.17056725360207992
1107	80-81	-0.06905432033227754
1107	82-83	-0.18519987886761413
1107	84-85	0.0032641848536272278
1107	86-87	-0.06055684816159612
1107	88-89	-0.10066612890285143
1107	90-91	-0.14362261193803505
1107	92-93	-0.10617969835330854
1107	94-95	-0.05899736897262642
1107	96-97	-0.08391827430166643
1107	98-99	0.11265038591879772
1107	100-101	0.13921435513270097
1108	1	-0.7863580872112514
1108	2	-0.5678482018058624
1108	3	-1.2205488975036118
1108	4	-1.0197168152446636
1108	5	-0.78858133846078
1108	6	-1.0524136533986805
1108	7	-1.0723707134704838
1108	8	-0.9562278754009981
1108	9	-0.8800414995694723
1108	10-11	-1.0243707329424012
1108	12-13	-1.0591849293280262
1108	14-15	-1.1739622269385492
1108	16-17	-0.4011171292636888
1108	18-19	-0.10579688508278906
1108	20-21	0.0025384557994954093
1108	22-23	-0.03891177998765727
1108	24-25	0.04972330951386539
1108	26-27	0.06056601469509104
1108	28-29	-0.07122973937857324
1108	30-31	-0.07615649507042832
1108	32-33	0.04546218186326456
1108	34-35	-0.05653422372856909
1108	36-37	-0.03189234776791494
1108	38-39	-0.20828160609474367
1108	40-41	-0.1742159075377998
1108	42-43	-0.09766399083990507
1108	44-45	-0.055087587750051625
1108	46-47	0.003848598000146808
1108	48-49	0.0874059350331251
1108	50-51	0.04858711239231184
1108	52-53	8.701557381769476E-4
1108	54-55	0.23617878455247165
1108	56-57	0.03255418233562324
1108	58-59	0.09173762762157622
1108	60-61	0.14903126853545956
1108	62-63	0.09412347330213322
1108	64-65	0.05885760648602201
1108	66-67	0.05953884594774195
1108	68-69	0.13488425930825088
1108	70-71	0.05520887864125967
1108	72-73	0.036550601209299316
1108	74-75	0.06381090429916014
1108	76-77	0.11828091549688935
1108	78-79	0.11683778357225805
1108	80-81	0.015806093746022043
1108	82-83	0.03033473444966006
1108	84-85	0.07590615975185955
1108	86-87	0.08022163478671729
1108	88-89	-0.012722760053343052
1108	90-91	-0.059657406574608274
1108	92-93	0.03936321138494492
1108	94-95	0.05410624440397527
1108	96-97	0.06198011731595443
1108	98-99	0.16743493039177082
1108	100-101	0.16578068971217164
1109	1	-0.39569652126511556
1109	2	-0.2961575911126282
1109	3	-0.8623811439177373
1109	4	-0.7728266578433178
1109	5	-0.6311955709830173
1109	6	-0.9708822230821639
1109	7	-0.7425888829508551
1109	8	-0.9215366210021756
1109	9	-0.7048310789871337
1109	10-11	-0.8420236852700498
1109	12-13	-0.6517752885207102
1109	14-15	-0.5936203024718978
1109	16-17	-0.2235733188854141
1109	18-19	-0.06487942195771979
1109	20-21	0.0680785098888208
1109	22-23	0.06959797542766921
1109	24-25	0.1087569077392132
1109	26-27	0.07751124090442829
1109	28-29	-0.0747055048630827
1109	30-31	0.029422993312678614
1109	32-33	0.14630364355689807
1109	34-35	0.0031695894002368163
1109	36-37	-0.048589564622822934
1109	38-39	-0.1185769117425508
1109	40-41	-0.19222216573240303
1109	42-43	-0.03225507124322746
1109	44-45	0.06254368338925076
1109	46-47	0.17735684361029058
1109	48-49	0.24187054780117023
1109	50-51	0.1746169652203733
1109	52-53	0.10177891496542202
1109	54-55	0.28446406011595826
1109	56-57	0.1412769794346147
1109	58-59	0.14417022649580957
1109	60-61	0.09609356171630168
1109	62-63	0.03406535764526808
1109	64-65	0.08650056080320923
1109	66-67	0.17846392889734375
1109	68-69	0.22307620654326143
1109	70-71	0.03011313408443783
1109	72-73	0.05706905105840576
1109	74-75	0.13209791397341064
1109	76-77	0.2888403553648615
1109	78-79	0.32385983047228706
1109	80-81	0.09264967246348732
1109	82-83	0.09920824869345779
1109	84-85	0.16302113423104458
1109	86-87	0.16608055299644064
1109	88-89	0.034307735123896066
1109	90-91	-0.029771895418498673
1109	92-93	0.07983036578870895
1109	94-95	0.10617758372816155
1109	96-97	0.07589458219931089
1109	98-99	0.20699034126779026
1109	100-101	0.2909221010848597
1110	1	-0.46734231121771685
1110	2	-0.21608389894831248
1110	3	-0.7608494551855856
1110	4	-0.580406859851422
1110	5	-0.6105756483585054
1110	6	-0.8697251641092762
1110	7	-0.6618071135107897
1110	8	-0.5254310525669794
1110	9	-0.40588655049180034
1110	10-11	-0.2547220146491469
1110	12-13	-0.1575549377309855
1110	14-15	-0.07674040348265976
1110	16-17	-0.006761525119138412
1110	18-19	-0.1134637861256067
1110	20-21	0.0200332902125524
1110	22-23	0.0913963869873271
1110	24-25	0.1360703873682283
1110	26-27	0.11607913236559853
1110	28-29	0.031752927282944654
1110	30-31	0.1023077724097945
1110	32-33	0.14232460597115448
1110	34-35	0.06290267638067348
1110	36-37	0.01636151616911974
1110	38-39	-0.02916134720461372
1110	40-41	-0.02775104360601688
1110	42-43	0.12622556750478964
1110	44-45	0.1442293585735257
1110	46-47	0.1383687366862958
1110	48-49	0.1290105326379134
1110	50-51	0.11656817333865632
1110	52-53	-0.02047074932906412
1110	54-55	0.1948223001878091
1110	56-57	0.09998939203716617
1110	58-59	0.14265797099924526
1110	60-61	0.15418428727794975
1110	62-63	0.09996368820723234
1110	64-65	0.15857423895588596
1110	66-67	0.22804260765821027
1110	68-69	0.226545600440204
1110	70-71	0.15501342953744057
1110	72-73	0.06842481962503655
1110	74-75	0.09181871313276702
1110	76-77	0.05203479839160963
1110	78-79	0.13491517772737183
1110	80-81	0.017793720814260894
1110	82-83	0.03961126587588382
1110	84-85	0.22096167263377708
1110	86-87	0.19258552096293613
1110	88-89	0.15360830527569647
1110	90-91	0.06402713620509104
1110	92-93	0.05001148975694747
1110	94-95	0.1090761244613887
1110	96-97	0.04948806815655615
1110	98-99	0.15749648246413273
1110	100-101	0.22500535194986782
1111	1	-0.13716695652153632
1111	2	-0.14584033642698557
1111	3	-0.4586490902723668
1111	4	-0.3597689639303212
1111	5	-0.2379819047149283
1111	6	-0.21256780786957563
1111	7	-0.15756310692012931
1111	8	0.0133153580076808
1111	9	0.08035195090531744
1111	10-11	0.05961769971312947
1111	12-13	0.0997076036100708
1111	14-15	0.06323664324501266
1111	16-17	0.09461866023809051
1111	18-19	0.11457480758899408
1111	20-21	0.19075661329632965
1111	22-23	0.14826652576084598
1111	24-25	0.18135676615822405
1111	26-27	0.1497589133493875
1111	28-29	0.04926942315495353
1111	30-31	0.08363692166192038
1111	32-33	0.22433983654268985
1111	34-35	0.17987036655362942
1111	36-37	0.17517846155968186
1111	38-39	0.12142318965186405
1111	40-41	0.019189595411994276
1111	42-43	0.11882157768661727
1111	44-45	0.18699772324686847
