##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	46-47	0.07410245074608213
1104	48-49	0.08560532525226705
1104	50-51	0.056826940092648215
1104	52-53	0.06488400634765412
1104	54-55	0.07039486362831582
1104	56-57	0.07568484164617928
1104	58-59	0.03949601305214401
1104	60-61	0.04081959822622139
1104	62-63	0.09499763012803442
1104	64-65	0.08767707625023746
1104	66-67	0.0940403507913814
1104	68-69	0.11210156471493349
1104	70-71	0.15115182593897458
1104	72-73	0.13748682150110625
1104	74-75	0.13285898469030144
1104	76-77	0.11246235888058465
1104	78-79	0.16793394424782093
1104	80-81	0.19763827154162072
1104	82-83	0.178491751142829
1104	84-85	0.18592202602855679
1104	86-87	0.18866667422220473
1104	88-89	0.27201156384985126
1104	90-91	0.31600669583954755
1104	92-93	0.3477884060068064
1104	94-95	0.3780721540933669
1104	96-97	0.30194838618860587
1104	98-99	0.5237506059273116
1104	100-101	0.373842835843611
1105	1	-0.19089222911325265
1105	2	-0.08315832550902869
1105	3	-0.0664187090125381
1105	4	-0.044615594254274527
1105	5	0.15725438509880973
1105	6	0.10868093887374641
1105	7	0.07931400455304782
1105	8	0.12421366943114265
1105	9	0.043477702237595395
1105	10-11	0.029675048649806968
1105	12-13	0.01454015537471065
1105	14-15	0.04429586814713815
1105	16-17	0.06557570370818411
1105	18-19	0.06724755140492533
1105	20-21	0.0765646001488065
1105	22-23	0.05915631636843699
1105	24-25	0.018643185591969313
1105	26-27	0.0041540927752024
1105	28-29	0.037488405613324005
1105	30-31	0.06118879635074137
1105	32-33	0.04535506559670921
1105	34-35	0.01880183455721607
1105	36-37	0.038123069880654725
1105	38-39	0.06132162158170473
1105	40-41	0.04369622107473958
1105	42-43	0.05534962356332329
1105	44-45	0.12029797412898802
1105	46-47	0.06818949217348802
1105	48-49	0.06962175012309757
1105	50-51	0.05002742753636369
1105	52-53	0.09925674580281907
1105	54-55	0.03480728163270186
